Epoch,Error,Time
56500,117.41373811564199,00:01:11.235
56600,117.41279311287015,00:01:11.369
56700,117.41185402553177,00:01:11.490
56800,117.4109208050782,00:01:11.631
56900,117.4099934032412,00:01:11.762
57000,117.40907177204237,00:01:11.882
57100,117.40815586379117,00:01:12.001
57200,117.40724563108972,00:01:12.129
57300,117.4063410268297,00:01:12.269
57400,117.40544200420372,00:01:12.388
57500,117.40454851669351,00:01:12.510
57600,117.40366051808675,00:01:12.628
57700,117.40277796246635,00:01:12.747
57800,117.4019008042169,00:01:12.873
57900,117.40102899802397,00:01:13.016
58000,117.40016249887937,00:01:13.138
58100,117.39930126207786,00:01:13.259
58200,117.39844524321711,00:01:13.379
58300,117.39759439820345,00:01:13.499
58400,117.39674868324855,00:01:13.620
58500,117.3959080548711,00:01:13.741
58600,117.39507246990006,00:01:13.892
58700,117.39424188546992,00:01:14.013
58800,117.39341625902387,00:01:14.133
58900,117.3925955483109,00:01:14.253
59000,117.3917797113979,00:01:14.370
59100,117.3909687066504,00:01:14.491
59200,117.3901624927536,00:01:14.609
59300,117.38936102868864,00:01:14.731
59400,117.3885642737567,00:01:14.860
59500,117.3877721875645,00:01:14.991
59600,117.38698473002535,00:01:15.110
59700,117.38620186136285,00:01:15.234
59800,117.38542354210617,00:01:15.356
59900,117.3846497330949,00:01:15.478
60000,117.38388039547445,00:01:15.602
60100,117.38311549069685,00:01:15.722
60200,117.38235498051777,00:01:15.841
60300,117.38159882700242,00:01:15.961
60400,117.38084699251529,00:01:16.085
60500,117.38009943973155,00:01:16.204
60600,117.37935613162409,00:01:16.324
60700,117.37861703146885,00:01:16.445
60800,117.37788210284546,00:01:16.567
60900,117.37715130963146,00:01:16.686
61000,117.37642461600691,00:01:16.807
61100,117.37570198644553,00:01:16.929
61200,117.37498338572601,00:01:17.048
61300,117.37426877891676,00:01:17.166
61400,117.37355813138522,00:01:17.287
61500,117.37285140879246,00:01:17.408
61600,117.37214857709152,00:01:17.529
61700,117.37144960252964,00:01:17.646
61800,117.37075445164331,00:01:17.768
61900,117.37006309125772,00:01:17.886
62000,117.36937548848725,00:01:18.004
62100,117.36869161073156,00:01:18.130
62200,117.36801142568059,00:01:18.250
62300,117.36733490130291,00:01:18.367
62400,117.36666200585054,00:01:18.488
62500,117.36599270785906,00:01:18.607
62600,117.36532697614446,00:01:18.726
62700,117.36466477979619,00:01:18.846
62800,117.36400608818596,00:01:18.967
62900,117.3633508709565,00:01:19.087
63000,117.36269909802884,00:01:19.206
63100,117.36205073959142,00:01:19.326
63200,117.36140576610566,00:01:19.446
63300,117.36076414830065,00:01:19.579
63400,117.360125857177,00:01:19.711
63500,117.35949086399266,00:01:19.847
63600,117.35885914027907,00:01:19.988
63700,117.35823065782282,00:01:20.126
63800,117.35760538867505,00:01:20.267
63900,117.35698330514386,00:01:20.402
64000,117.35636437979535,00:01:20.538
64100,117.35574858544953,00:01:20.671
64200,117.3551358951823,00:01:20.804
64300,117.35452628232055,00:01:20.937
64400,117.35391972043949,00:01:21.070
64500,117.35331618336606,00:01:21.205
64600,117.35271564516933,00:01:21.338
64700,117.35211808016771,00:01:21.471
64800,117.35152346291619,00:01:21.607
64900,117.35093176821832,00:01:21.738
65000,117.35034297111092,00:01:21.872
65100,117.34975704686971,00:01:22.005
65200,117.34917397100651,00:01:22.137
65300,117.34859371926527,00:01:22.270
65400,117.34801626762149,00:01:22.406
65500,117.34744159228272,00:01:22.547
65600,117.34686966968108,00:01:22.682
65700,117.34630047647566,00:01:22.816
65800,117.34573398955195,00:01:22.951
65900,117.34517018601248,00:01:23.083
66000,117.34460904318301,00:01:23.216
66100,117.34405053860958,00:01:23.353
66200,117.34349465004948,00:01:23.492
66300,117.34294135547765,00:01:23.629
66400,117.342390633078,00:01:23.764
66500,117.34184246125177,00:01:23.901
66600,117.34129681860134,00:01:24.032
66700,117.3407536839401,00:01:24.165
66800,117.34021303628201,00:01:24.299
66900,117.33967485484862,00:01:24.434
67000,117.3391391190572,00:01:24.567
67100,117.33860580852985,00:01:24.700
67200,117.33807490307917,00:01:24.834
67300,117.33754638271441,00:01:24.969
67400,117.33702022764352,00:01:25.101
67500,117.33649641825727,00:01:25.234
